a_first,a_second,a_third,a_first_sp,a_second_sp
서울특별시,강남구,,서울,강남
서울특별시,강동구,,서울,강동
서울특별시,강북구,,서울,강북
서울특별시,강서구,,서울,강서
서울특별시,관악구,,서울,관악
서울특별시,광진구,,서울,광진
서울특별시,구로구,,서울,구로
서울특별시,금천구,,서울,금천
서울특별시,노원구,,서울,노원
서울특별시,도봉구,,서울,도봉
서울특별시,동대문구,,서울,동대문
서울특별시,동작구,,서울,동작
서울특별시,마포구,,서울,마포
서울특별시,서대문구,,서울,서대문
서울특별시,서초구,,서울,서초
서울특별시,성동구,,서울,성동
서울특별시,성북구,,서울,성북
서울특별시,송파구,,서울,송파
서울특별시,양천구,,서울,양천
서울특별시,영등포구,,서울,영등포
서울특별시,용산구,,서울,용산
서울특별시,은평구,,서울,은평
서울특별시,종로구,,서울,종로
서울특별시,중구,,서울,중구
서울특별시,중랑구,,서울,중랑
부산광역시,강서구,,부산,강서
부산광역시,금정구,,부산,금정
부산광역시,남구,,부산,남구
부산광역시,동구,,부산,동구
부산광역시,동래구,,부산,동래
부산광역시,부산진구,,부산,부산진
부산광역시,북구,,부산,북구
부산광역시,사상구,,부산,사상
부산광역시,사하구,,부산,사하
부산광역시,서구,,부산,서구
부산광역시,수영구,,부산,수영
부산광역시,연제구,,부산,연제
부산광역시,영도구,,부산,영도
부산광역시,중구,,부산,중구
부산광역시,해운대구,,부산,해운대
부산광역시,기장군,,부산,기장
대구광역시,군위군,,대구,군위
대구광역시,남구,,대구,남구
대구광역시,달서구,,대구,달서
대구광역시,달성군,,대구,달성
대구광역시,동구,,대구,동구
대구광역시,북구,,대구,북구
대구광역시,서구,,대구,서구
대구광역시,수성구,,대구,수성
대구광역시,중구,,대구,중구
인천광역시,강화군,,인천,강화
인천광역시,계양구,,인천,계양
인천광역시,남동구,,인천,남동
인천광역시,동구,,인천,동구
인천광역시,미추홀구,,인천,미추홀
인천광역시,부평구,,인천,부평
인천광역시,서구,,인천,서구
인천광역시,연수구,,인천,연수
인천광역시,옹진군,,인천,옹진
인천광역시,중구,,인천,중구
광주광역시,광산구,,광주,광산
광주광역시,남구,,광주,남구
광주광역시,동구,,광주,동구
광주광역시,북구,,광주,북구
광주광역시,서구,,광주,서구
대전광역시,대덕구,,대전,대덕
대전광역시,동구,,대전,동구
대전광역시,서구,,대전,서구
대전광역시,유성구,,대전,유성
대전광역시,중구,,대전,중구
울산광역시,남구,,울산,남구
울산광역시,동구,,울산,동구
